ID_Caso,Fecha_Ingreso,Sucursal_Propietaria,Ejecutivo,Tipificacion,Subtipificacion,Dias_Cartera,Estado,Prioridad,Canal_Ingreso,Monto_Compra,Cumple_SLA_7_dias,M20,Contacto_Cliente,Escalado,Resultado_Gestion
CASO-100001,2026-08-03,Quilicura,Ejecutivo_05,Servicio adicional,Despacho adicional,17,Pendiente,Media,Call Center,109672,No,No,Sí,No,Derivado
CASO-100002,2026-07-29,Santiago Centro,Ejecutivo_10,Devolución,En revisión,22,Pendiente,Alta,Tienda,31639,No,Sí,Sí,Sí,En seguimiento
CASO-100003,2026-07-25,Santiago Centro,Ejecutivo_14,Problema de facturación,Boleta,26,Pendiente,Media,Web,22205,No,Sí,Sí,Sí,Resuelto
CASO-100004,2026-07-26,Maipú,Ejecutivo_13,Reembolso pendiente,Pendiente banco,25,Pendiente,Baja,Web,61677,No,Sí,Sí,Sí,Pendiente información
CASO-100005,2026-08-03,Puente Alto,Ejecutivo_11,Servicio adicional,Armado,17,Pendiente,Media,Tienda,37930,No,No,Sí,No,En seguimiento
CASO-100006,2026-08-07,Providencia,Ejecutivo_04,Consulta transaccional,Abono,13,En gestión,Media,Call Center,78313,No,No,Sí,No,Cliente contactado
CASO-100007,2026-07-31,La Florida,Ejecutivo_07,Producto defectuoso,Cambio,20,Cerrado,Media,Tienda,229923,No,No,No,No,Resuelto
CASO-100008,2026-07-26,Quilicura,Ejecutivo_06,Servicio adicional,Instalación,25,Pendiente,Alta,App,118153,No,Sí,Sí,Sí,En seguimiento
CASO-100009,2026-08-16,Quilicura,Ejecutivo_10,Problema de facturación,Cobro incorrecto,4,Pendiente,Baja,Web,228581,Sí,No,Sí,No,En seguimiento
CASO-100010,2026-08-10,Quilicura,Ejecutivo_07,Reembolso pendiente,En validación,10,Pendiente,Baja,App,23316,No,No,No,No,Pendiente información
CASO-100011,2026-08-17,La Florida,Ejecutivo_05,Devolución,Recepcionado,3,Cerrado,Media,Tienda,163376,Sí,No,Sí,No,Resuelto
CASO-100012,2026-08-02,Puente Alto,Ejecutivo_15,Problema de facturación,Boleta,18,Pendiente,Media,Tienda,237911,No,No,No,No,En seguimiento
CASO-100013,2026-07-29,Santiago Centro,Ejecutivo_15,Problema de facturación,Cobro incorrecto,22,Pendiente,Baja,Call Center,101058,No,Sí,Sí,Sí,Resuelto
CASO-100014,2026-07-17,Maipú,Ejecutivo_04,Producto defectuoso,Cambio,34,Pendiente,Media,Call Center,92876,No,Sí,Sí,Sí,En seguimiento
CASO-100015,2026-08-12,Maipú,Ejecutivo_07,Descuento no aplicado,Convenio,8,En gestión,Baja,Call Center,90366,No,No,Sí,No,Derivado
CASO-100016,2026-08-01,La Florida,Ejecutivo_07,Reembolso pendiente,En validación,19,Pendiente,Media,App,18403,No,No,No,No,Resuelto
CASO-100017,2026-08-14,Maipú,Ejecutivo_06,Producto no recibido,Despacho en ruta,6,En gestión,Baja,Call Center,85052,Sí,No,Sí,No,Resuelto
CASO-100018,2026-07-25,Quilicura,Ejecutivo_08,Problema de facturación,Boleta,26,Pendiente,Media,Tienda,220699,No,Sí,Sí,Sí,En seguimiento
CASO-100019,2026-07-17,Ñuñoa,Ejecutivo_04,Descuento no aplicado,Convenio,34,Pendiente,Media,Call Center,78495,No,Sí,No,Sí,Pendiente información
CASO-100020,2026-08-14,Puente Alto,Ejecutivo_10,Producto no recibido,No entregado,6,Cerrado,Baja,Web,168004,Sí,No,Sí,No,Resuelto
CASO-100021,2026-07-18,Santiago Centro,Ejecutivo_05,Reembolso pendiente,Pendiente banco,33,Pendiente,Media,Call Center,101090,No,Sí,Sí,Sí,Derivado
CASO-100022,2026-07-29,Ñuñoa,Ejecutivo_04,Retraso en la entrega,Entregado,22,Pendiente,Media,App,41701,No,Sí,Sí,Sí,Pendiente información
CASO-100023,2026-07-30,Puente Alto,Ejecutivo_12,Consulta transaccional,Pago,21,Escalado,Media,Web,139457,No,Sí,Sí,No,Pendiente información
CASO-100024,2026-08-14,Las Condes,Ejecutivo_01,Descuento no aplicado,Cupón,6,Cerrado,Media,Web,235298,Sí,No,Sí,No,Resuelto
CASO-100025,2026-08-14,Providencia,Ejecutivo_12,Anulación de compra,Solicitud cliente,6,Pendiente,Media,Web,62241,Sí,No,Sí,No,Resuelto
CASO-100026,2026-08-16,La Florida,Ejecutivo_08,Retraso en la entrega,Entregado,4,Pendiente,Media,App,146439,Sí,No,Sí,No,Pendiente información
CASO-100027,2026-07-21,Quilicura,Ejecutivo_01,Consulta transaccional,Abono,30,Pendiente,Alta,Tienda,70030,No,Sí,Sí,Sí,En seguimiento
CASO-100028,2026-08-09,Maipú,Ejecutivo_05,Producto defectuoso,Cambio,11,Pendiente,Media,Call Center,182577,No,No,No,No,Pendiente información
CASO-100029,2026-07-21,Las Condes,Ejecutivo_15,Servicio adicional,Armado,30,Pendiente,Baja,Web,169404,No,Sí,No,Sí,Derivado
CASO-100030,2026-07-20,Maipú,Ejecutivo_06,Devolución,Retiro pendiente,31,Pendiente,Media,Web,221250,No,Sí,Sí,Sí,Cliente contactado
CASO-100031,2026-07-27,Ñuñoa,Ejecutivo_06,Anulación de compra,Error compra,24,Escalado,Media,Web,212397,No,Sí,No,No,Derivado
CASO-100032,2026-08-11,Santiago Centro,Ejecutivo_13,Producto defectuoso,Garantía,9,Pendiente,Media,Tienda,171340,No,No,Sí,No,Resuelto
CASO-100033,2026-08-17,Santiago Centro,Ejecutivo_05,Reembolso pendiente,Pendiente sistema,3,Cerrado,Alta,Tienda,222558,Sí,No,Sí,Sí,Resuelto
CASO-100034,2026-07-20,Santiago Centro,Ejecutivo_03,Producto defectuoso,Cambio,31,Pendiente,Media,App,161635,No,Sí,No,No,Pendiente información
CASO-100035,2026-07-27,Quilicura,Ejecutivo_15,Servicio adicional,Despacho adicional,24,Pendiente,Media,Tienda,110185,No,Sí,Sí,Sí,En seguimiento
CASO-100036,2026-07-20,Maipú,Ejecutivo_05,Reembolso pendiente,Pendiente banco,31,Pendiente,Media,Call Center,41404,No,Sí,Sí,Sí,Pendiente información
CASO-100037,2026-08-14,Las Condes,Ejecutivo_12,Anulación de compra,Stock,6,Pendiente,Media,App,60182,Sí,No,No,No,Derivado
CASO-100038,2026-08-18,Santiago Centro,Ejecutivo_08,Servicio adicional,Despacho adicional,2,Cerrado,Media,App,37991,Sí,No,Sí,No,Resuelto
CASO-100039,2026-07-31,Las Condes,Ejecutivo_14,Producto no recibido,Despacho en ruta,20,Pendiente,Alta,Call Center,109601,No,No,No,Sí,Cliente contactado
CASO-100040,2026-07-23,Maipú,Ejecutivo_02,Devolución,Retiro pendiente,28,Pendiente,Media,Call Center,183735,No,Sí,Sí,Sí,Pendiente información
CASO-100041,2026-08-09,Quilicura,Ejecutivo_06,Anulación de compra,Stock,11,Cerrado,Media,Call Center,70886,No,No,Sí,No,Resuelto
CASO-100042,2026-08-16,Ñuñoa,Ejecutivo_09,Producto no recibido,No entregado,4,Cerrado,Media,App,127002,Sí,No,Sí,No,Resuelto
